RBI guidelines,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/170MD.pdf,,,,
,Term loan,,OD facility',,
,Self funds,Take over - if fully paid & Part paid meaing some of the amount being paid,Pre-paid - Self funds,Fore-closure - Take over,
Punjab National Bank,2% on prepaid,2% on the amount being paid,2% on prepaid,2% on the sanctioned limit,https://pnb.bank.in/Fees-and-Services.html
Central Bank of India,NIL,4% on the amount being paid,NA,NA,https://centralbank.bank.in/en/service-charges-fees
Bank of India,NIL,2% on the highest outstanding loan amount in last 90 days,NIL,2% on the highest outstanding loan amount in last 90 days,https://bankofindia.bank.in/documents/20121/25717753/Annexure-II-Retail-Banking.pdf
Union Bank of India,NIL,2% on the amount being paid,NIL,2% on the amount being paid,https://www.unionbankofindia.bank.in/pdf/service%20charges-domestic%20rupee%20advances-corp%20website.pdf
Bank of Baroda,NIL,0.5% on the amount being paid,NIL,0.5% on the amount being paid,https://bankofbaroda.bank.in/interest-rate-and-service-charges/service-charges
Indian Bank,NIL,2% on the amount being paid,NIL,2% on the amount being paid,https://indianbank.bank.in/documents/d/guest/annexure_circular-web-wef-01-01-26-1-1
Canara Bank,NIL,2% on the amount being paid,NIL,2% on the amount being paid,https://www.canarabank.bank.in/documents/d/guest/policy-on-penal-charges-101125
Indian Overseas Bank,NIL,2% on the amount being paid,NIL,2% on the amount being paid,https://www.iob.bank.in/documents/d/guest/revision_of_service_charges_01042026
Punjab & Sind Bank,NA,NA,NA,NA,https://punjabandsind.bank.in/content/pre-payment-charges
State Bank of India,NA,NA,NA,NA,
Bank of Maharashtra,NIL,NIL,NA,NA,https://bankofmaharashtra.bank.in/service-charges
UCO Bank,NA,NA,NA,NA,https://www.uco.bank.in/en/web/guest/service-charges
Bandhan Bank,NA,"(a) 4% of o/s for loans repaid less than 12 months.
(b) 2% of o/s for loans repaid after 12 months",NA,NA,https://bandhan.bank.in/rates-charges#rctabone2 | https://bandhan.bank.in/sites/default/files/2025-11/Schedule-of-Charges-of-home-loan-and-LAP-11112025.pdf
CSB Bank,NA,NA,NA,NA,https://www.csb.bank.in/base-rateservice-charges
City Union Bank,NIL,2% on the amount being paid,NA,NA,https://cityunionbank.bank.in/service-charges
Axis Bank,NIL,2% on the amount being paid,NIL,2% on the amount being paid,https://www.axis.bank.in/loans/home-loan/interest-rates-charges#feescharges
HDFC Bank,NIL,2% on the amount being paid,NIL,2% on the amount being paid,https://www.hdfc.bank.in/home-loan/fees-and-charges
DCB Bank,NIL,4% on the amount being paid,NIL,4% on the amount being paid,https://www.dcb.bank.in/api/dcb/assets/2026-02/DCB%20Home%20Loan%20%26%20DCB%20Flexi%20Loan.pdf
Dhanlaxmi Bank,3% on the amount being paid,3% on the amount being paid,3% on the amount being paid,3% on the amount being paid,https://www.dhan.bank.in/pdf/Schedule-of-Charges-Loans-and-Advances-wef-10.03.2026.pdf
Federal Bank,3% on the amount being paid,3% on the amount being paid,NA,NA,https://www.federal.bank.in/rates-and-charges | https://www.federal.bank.in/documents/d/guest/retail-loan-charges-w-e-f-from-01-04-2026-1
ICICI Bank,NIL,2% on the amount being paid,NIL,3% on the amount being paid,https://www.icici.bank.in/personal-banking/loans/home-loan/service-chargess
IDBI Bank,"Within 6 Months from Final Disbursement
 - 2% on the amount being paid
After 6 Months from Final Disbursement - NIL",2% on the amount being paid,"Within 6 Months from Final Disbursement
 - 2% on the amount being paid
After 6 Months from Final Disbursement - NIL",2% on the amount being paid,https://www.idbi.bank.in/pdf/soc/Loan-Accounts-Structured-retail-asset-products.pdf
IDFC FIRST Bank,NIL,2% on the amount being paid,NA,NA,https://www.idfcfirst.bank.in/personal-banking/loans/home-loan/fees-and-charges
IndusInd Bank,NA,NA,NA,NA,https://www.indusind.bank.in/in/en/personal/loans/home-loan.html
Karur Vysya Bank,NA,NA,NA,NA,https://www.kvb.bank.in/service-charges-fees/ | https://www.kvb.bank.in/docs/service-charges-for-corporate-and-commercial-banking.pdf
Kotak Mahindra Bank,NIL,1% on outstanding amount of each year of residual period to original maturity,NIL,1% on outstanding amount of each year of residual period to original maturity,https://www.kotak.bank.in/en/personal-banking/loans/home-loan/fees-and-charges.html
Karnataka Bank,NA,NA,NA,NA,https://www.karnatakabank.bank.in/  | https://d3sdkw7nvdnqts.cloudfront.net/s3fs-public/2025-08/credit-service-charges-latest-02.08.2025.pdf?VersionId=VhRuEL1TRRHRYGng7KE_a4qEx3Z8bDiT
Nainital Bank,2% on the amount being paid,2% on the amount being paid,NA,NA,https://www.nainitalbank.bank.in/pdf/Service_charges_fee.pdf | https://www.nainitalbank.bank.in/english/home.aspx#
RBL Bank,2% on the amount being paid,2% on the amount being paid,NA,NA,https://www.rbl.bank.in/service-charges
South Indian Bank,"Up to Rs.1.00 Crore	4% Plus GST
Above Rs.1.00Crore	3% Plus GST","Up to Rs.1.00 Crore	4% Plus GST
Above Rs.1.00Crore	3% Plus GST",NA,NA,https://www.southindianbank.bank.in/help-desk/service-charges
Yes Bank,NIL,2% on the amount being paid,NIL,2% on the amount being paid,https://www.yes.bank.in/rates-and-charges | https://www.yes.bank.in/pdf?name=homeloan_pdf.pdf
Tamilnad Mercantile Bank,NA,NA,NA,NA,
Jammu and Kashmir Bank,2% on the amount being paid,2% on the amount being paid,NA,NA,https://jkb.bank.in/ | https://jkb.bank.in/sites/default/files/2025-03/Service_Charges_Schedule_%28Advances%29.pdf
