bank_name,bank_key,facility_type,charge_name,rate_type,charge_status,percentage,percentage_base_value,fixed_amount,gst_applicable,has_slab_wise_charges,slab_from,slab_to,slab_basis,loan_amount_band_applicable,loan_amount_min,loan_amount_max,months_from_event_min,months_from_event_max,months_from_event_basis,percentage_applies_per,source_url,note_1,csv_cell_ref
Punjab National Bank,punjab national bank,Term Loan,Prepayment charges,Fixed,charged,0.02,Prepaid_Amount,,Yes,No,,,,,,,,,,once,https://pnb.bank.in/Fees-and-Services.html,,Punjab National Bank|TL_self
Punjab National Bank,punjab national bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://pnb.bank.in/Fees-and-Services.html,,Punjab National Bank|TL_take
Punjab National Bank,punjab national bank,Overdraft,Prepayment charges,Fixed,charged,0.02,Prepaid_Amount,,Yes,No,,,,,,,,,,once,https://pnb.bank.in/Fees-and-Services.html,,Punjab National Bank|OD_self
Punjab National Bank,punjab national bank,Overdraft,Prepayment charges (takeover),Fixed,charged,0.02,Sanctioned_Limit,,Yes,No,,,,,,,,,,once,https://pnb.bank.in/Fees-and-Services.html,,Punjab National Bank|OD_take
Central Bank of India,central bank of india,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://centralbank.bank.in/en/service-charges-fees,Prepayment nil (CSV NIL),Central Bank of India|TL_self
Central Bank of India,central bank of india,Term Loan,Prepayment charges (takeover),Fixed,charged,0.04,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://centralbank.bank.in/en/service-charges-fees,,Central Bank of India|TL_take
Bank of India,bank of india,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://bankofindia.bank.in/documents/20121/25717753/Annexure-II-Retail-Banking.pdf,Prepayment nil (CSV NIL),Bank of India|TL_self
Bank of India,bank of india,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Highest_Outstanding_90_Days,,Yes,No,,,,,,,,,,once,https://bankofindia.bank.in/documents/20121/25717753/Annexure-II-Retail-Banking.pdf,,Bank of India|TL_take
Bank of India,bank of india,Overdraft,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://bankofindia.bank.in/documents/20121/25717753/Annexure-II-Retail-Banking.pdf,Prepayment nil (CSV NIL),Bank of India|OD_self
Bank of India,bank of india,Overdraft,Prepayment charges (takeover),Fixed,charged,0.02,Highest_Outstanding_90_Days,,Yes,No,,,,,,,,,,once,https://bankofindia.bank.in/documents/20121/25717753/Annexure-II-Retail-Banking.pdf,,Bank of India|OD_take
