[00:04.090 --> 00:06.090]  Sibyl score...
[00:12.650 --> 00:14.250]  See, what is the problem with a Sibyl score?
[00:17.170 --> 00:21.230]  You are forcing me to tell the exact score.
[00:22.610 --> 00:22.950]  Ok.
[00:23.510 --> 00:24.490]  Means, it should be more approximate?
[00:24.950 --> 00:28.210]  No. Here, we need a drop down.
[00:28.690 --> 00:30.430]  750 to 780.
[00:32.390 --> 00:32.810]  Means...
[00:34.010 --> 00:35.650]  730 to 750.
[00:35.950 --> 00:36.970]  You remove the windows.
[00:38.030 --> 00:38.670]  Ok.
[00:38.670 --> 00:41.610]  But it should be like that.
[00:42.750 --> 00:43.390]  Because...
[00:43.390 --> 00:44.670]  What happens is...
[00:46.290 --> 00:46.930]  Means...
[00:46.930 --> 00:48.970]  I feel that...
[00:48.970 --> 00:50.070]  I need to know the exact score.
[00:50.790 --> 00:53.050]  Plus, I feel that we need to throw a little.
[00:54.390 --> 00:54.890]  Yes.
[00:54.890 --> 00:56.750]  If I have 759...
[00:57.770 --> 00:58.410]  Means...
[00:58.410 --> 01:00.250]  I have 780, you can tell me.
[01:00.990 --> 01:01.730]  No problem.
[01:02.050 --> 01:02.850]  But it changes in those 10 ranges.
[01:04.130 --> 01:04.810]  10 ranges?
[01:05.270 --> 01:06.150]  Then you put it in 10 pieces.
[01:06.690 --> 01:07.850]  No, no. I don't know.
[01:07.850 --> 01:09.850]  Let's see the second one.
[01:11.250 --> 01:12.110]  And I don't want to do average.
[01:12.770 --> 01:14.190]  No, the ones that are in their mind.
[01:16.070 --> 01:16.750]  Means...
[01:16.750 --> 01:17.770]  These are there.
[01:17.910 --> 01:18.850]  Average, high.
[01:19.090 --> 01:20.250]  Already, they are there.
[01:20.370 --> 01:22.310]  So, 700 plus is excellent.
[01:23.370 --> 01:24.570]  They are already there.
[01:24.730 --> 01:24.870]  Yes.
[01:26.890 --> 01:28.670]  Means, they take the windows.
[01:29.230 --> 01:30.210]  There will not be an accurate rate.
[01:30.870 --> 01:31.910]  They don't change in 10 points.
[01:32.990 --> 01:35.070]  Yes. But everyone's windows are regular.
[01:35.970 --> 01:37.010]  Then break it with 55.
[01:38.410 --> 01:39.610]  Yes, yes.
[01:39.810 --> 01:41.450]  Then the list gets bigger.
[01:41.650 --> 01:43.770]  GCF. Yes, yes, yes.
[01:47.800 --> 01:48.420]  Then what is it?
[01:48.560 --> 01:49.480]  With 55...
[01:49.480 --> 01:50.500]  With 55, you get a lot of smoke.
[01:51.080 --> 01:53.160]  And if you do 10 with 55...
